,Message,Intent
0,Q: `` im very sexy `` My fucking ass. duuude that made me laugh so fucking hardd(: thank's for making my day ;DA: your welcome faggot,1
0,Q: 13?r you're at the perfect age to learn how to suck dick and give hand jobs.A: SICKO,1
0,Q: ahaha my mom is dead :) but thanks ugly ass bitch that NO BODY knows and has no life and has to talk shit on formspring to pretty girls that she is jelouse of :) alright bitch.A: you ain't pretty pshh don't make me laugh,1
0,Q: and you called me fat why?A: i don't know I'm sorry,1
0,Q: ashlee cyrus florida  Hey im ashlee im tired of everyone commenting on my damn formspring talking shitA: okay?,1
0,Q: ashlee cyrus...r cyrus is a lame last name.r everyone knows if your a cyrus  you gotta be fake  and you're probably reall ugly in real life.r LMFAO.A: duh of course cyrus isn't my real last name it's my fake last name.,1
0,Q: baha  actually  im going to go on now :) BITCH ARE YOU FUCKING STUPID? >.> the REAL ashlee has a proof video  your dumb  your probably just some old man behind a computer screen<3 go fuck yourself<3A: nope,1
0,Q: BETTY IS LIKE ADORABLE. YOU LOOK LIKE A CRACK HEADS SHIT IN A TOILET MY DEARA: that doesn't even make sense,1
0,Q: BITCH STFU AT LEAST I RECOGNIZE MYSELF NOT LYK UA: should i care bitch,1
0,Q: Chick? Are you a fucking lesbain?A: No are you,1
0,Q: do i even know you ? and why the fuck are you leaving shit on my wall. seriously?get a life.A: cuz i felt like it :) i have one,1
0,Q: Does it make you mad you have tonsssss of hate groups on myspace?A: I don't care anymore,1
0,Q: Don't call her a bitch vvA: just did,1
0,Q: DUDE  ARE YOU SERIOUS YOUR SO STUPIDDDD >.> STFU!:) and btw  if your tired of people talking shit on your form spring  delete this accountt >.> and be yourself  are you that bad?A: not as stupid as you js[just saying],1
0,Q: dude it seems like everyone hates you. you should just delete all your socialing sites. (:A: should i care?,1
0,Q: Dude she's faking herself  no one else in the world would fake her!A: No im not,1
0,Q: Everyone Look  This Girl Was Using Missy Lockes Pictures And I Told Her She Was Fake  Then She Was Like Im Not Fake  Then She Took Bettys Pictures. SHES DUMB! http://www.formspring.me/LMT23A: k,1
0,Q: ew you're gross. ugly. BITCHA: not as gross as you bitch,1
0,Q: ewwwwwwwwA: okay i know im ew,1
0,Q: Faaaaake. :DA: I am not fake,1
0,Q: fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fakeA: Your fake,1
0,Q: Fake.A: your fake,1
0,Q: get a life you twisted bitch!A: You get a life,1
0,Q: get nakedA: Ew no,1
0,Q: GO TO HELL xDA: you go to hell ugly wannabe scene chick.,1
0,Q: Grosss! Your face is nastyA: so is yours,1
0,Q: Grosss! Your face is nastyA: so is yours you don't see me complaining,1
0,Q: guess what you should do? GET A LIFE. I don't even know you so why would you even start shit with me?! Seriously  you must be a bit messed up in the head. Pathetic.A: i have one for your information Nope i ain't messed up,1
0,Q: haha lifeless cunt stop writing on my wall you shit faced slutA: yo mamma,1
0,Q: heey. how many other formsprings do u have? like 50? damn. get a life.A: you care why?,1
0,Q: here's a cookie eat it : DA: Yay nom nom,1
0,Q: hey everyone  this is the girl that fakes taA: k,1
0,Q: Hey im ashlee im tired of everyone commenting on my damn formspring talking shitA: ///,1
0,Q: hey why dont you go kill yourself alot of ppl would be really happy :)A: why would i wanna do that?,1
0,Q: heyyy  your an ugly fucking bitch  you think your sexy? haha  you ain't shit besides an ugly bitch. & beware of what? ill fucking put your shit on blast. fucking stupid ass cunt. fuck off  & stop hatein on peoples pages before i go off on your ugly ass.A: please bitch what are you going to do nothing. If i were i would get a life,1
0,Q: hi asslee asshole :DA: Hi anonymous,1
0,Q: Hi you smelly rotten poo. You smell like pigs vomit! Did you just go to the toilet? I wondered what that smell was  you missed the toilet and it fell on your ugly clothes  are you poor? You stink like hamster poo. I'd love to ram a metal pole up your ass.A: I'd love to see you get hit by a car :),1
0,Q: hi you're ashlee and you're not 16 and you're ugly as hell so beware bye ;)A: if i were you i wouldn't be talking beth (:,1
0,Q: How much do you have sex?A: what type of question is that sicko,1
0,Q: I don't know you  and I've never said ur ugly. please dot comment on my looks.A: learn how to spell (:,1
0,Q: i dont know you  but you seem like a bitchA: I'm not,1
0,Q: i hope your asswhole gets sniffed by aidsA: Hope you get aids (:,1
0,Q: i like how everyone writes you just to insult you. seriously  all your questions are dissing you! HAHAH.A: Are you sure im not dissing you,1
0,Q: i never said that i'm 16 or that i'm sexy. dumbasssssssA: are you sure bitch?,1
0,Q: i swear to fucking god bitch. i hate you so much. you think you can add people and just talk shit on there pages? haha  naaa. yuuu must got us fucked up. im going to hunt your ass down and beat the shit out of youu with my own to hands. kbitchhhh?A: lame ass joke you can't do shit,1
0,Q: I'm not a creepy stalker. Just everyone fucking hates you so everyone knows what you fucking do. You remind me of Harmony Flashpink but uglier and alittle more pathetic. Everyone knows you fake yourself and other girls  and you want attention. Dumbfuck.A: i dont fake myself,1
0,Q: i'm not fake (:r sorry.A: liar,1
0,Q: If Your Going To Be Rude & Give Smart Ass Answers; We Will Unfollow You. :]A: okay,1
0,Q: im a big fan of betty and u is ugler than her so fuck up bitch u ugly shit headA: oh wow should i care,1
0,Q: It's your cousin again lol :] why is everyone saying your fake?A: they are stupid,1
0,Q: Learn how to spell? Learn how to tell apart a typo from a spelling error.   And learn how to be a proper fake.A: you learn to keep your damn mouth shut,1
0,Q: LMFAO  you're fucking creepy & must have no friends nor life  if you have to create muliple formsprings of yourself  saying theyre fakes. Quit thinking everyone wants to be you  & they copy you. No one would fake you. I'm sorry your such a pathetic poser.A: your the one who is creepy stalker,1
0,Q: Me pathetic?? your the one who started the shit...A: so?,1
0,Q: no body likes yuuuuuuu!A: like I care,1
0,Q: No honestly your really immature :)A: your the one,1
0,Q: Nope. I actually have a life. *COUGHCOUGH* unlike you  the lonely pathetic ugly lowlife man/woman who's life events are: staying on formspring creating fakes and starting shit. Seriously  I'm not the bitch  you are. END OF STORY. KCOOLBYE.A: i have a life show your face Anonymous,1
0,Q: ohh look the girl who fakes herself....A: I only faked myself once!,1
0,Q: Ok bitch.. wanna get started on me ?.. Ok one faggot is an over used term that people try to use on me to get me to feel bad.. two.your nothing but alowlife bitch who gets the kicks out of starting shit with people don't comestarting shit on my formspringA: well i want to bitch,1
0,Q: Okae then bitch you dont got any quick comebacks now do you you fucking FAKE!!!/A: wow pathetic much?,1
0,Q: SLUT LEAVE BETTY ALONE CUNT FACEA: she is the slut,1
0,Q: STFU YOU HOE. you piece of shiit.A: wow i feel insulted,1
0,Q: stop annoying betty btw. you're  a really sad little girl/boy . You think ur all grown up now using big words . stupid child  living a fake life behind a damn keyboard and a screen. how more pathetic can you be ?A: girl I'm not fake hun,1
0,"Q: stop leaving stuff like ""fake"" on your own formsrping. dead give away dumbass. SUCK A CUNTA: what are you talking about?",1
0,Q: Stop making fakes of yourself. You are ugly as fuck. You're not actually 16 bitch. And you're deff not a cyrus. Get a mother fucking life  cunt.A: I don't make fakes of myself person so get your fakes straight js,1
0,Q: u know u care that betty is way better looking than uA: she is fugly,1
0,Q: Ugly piece of shitA: stop talking about yourself.,1
0,Q: ugly.A: i know you are,1
0,Q: Uhm you did  right down there vvvvvvv. You're the 'dumbfuck'.  Stop starting shit with everyone  kcoolbye.A: bitch your the one who is copying me,1
0,Q: Ur face is nastyA: yep,1
0,Q: what am i going to do? hahaha  what am i going to do? haha  what im going to do is get some bitchess to kick the living shit out of your ugly fake wanna be bitch made ass.A: yea right don't make me laugh,1
0,Q: who are you?A: yo momma,1
0,Q: why are you still alive?A: idk D; you tell me,1
0,Q: Why did you fake yourself? That's lameeee you know there is like a lot of hate groups on myspace of you?A: I DON'T FAKE MYSELF SHUTUP,1
0,"Q: why not? and all you have to say is ""nope"". oh and leave people alone(: delete this you fucking fake :)A: I AINT FAKE FYI",1
0,Q: wow you're a fucking fake. if you're tired of everyone talking shit on you formspring  either stop talking shit to them first  or delete the damn thing. gosh  you're fucking retarded. I forgot how stupid people are these days  and that would be you.A: whatever bitch,1
0,"Q: Wow you're fucking stupid. You told a girl whoo had her info showing ""Show your face anonymus"" and your comebacks fucking suck. ""Fighting over the Internet is like being in the special olympics  even when you win  you're still retarded.""A: um looks who's talking your talking shit to me. stop being a hypocrite (:",1
0,Q: y do u have a big nose seriously no girl have a big nose ?A: so not as big as yours,1
0,Q: Yo shorty  This bitch fake!A: I'm not fake : ),1
0,Q: you are nasty. (:A: so are you,1
0,Q: you are stupid and ugly.A: that's what you are,1
0,Q: YOU DONT EVEN FUCKING HAVE FAKES STOP THE FUCKING BULLSHIT AND GET A LIFE JEZUSS. HOW OLD ARE YOU KID? LIFELESS BITCH YOU NEED HELP.A: Yes i do,1
0,Q: YOU SHOULD DIEA: kay,1
0,"Q: you should listen to the song ""big weenie"" by eminem (: it describes you SO much!!!!! everyone feels this way towards you xDA: lol are you sure your not describing yourself?",1
0,Q: you sure as hell look like a dog.  don't fucking call me 'hun'.  got it.A: i don't look like a damn dog hun lol i just did what you gonna do about it (:,1
0,Q: you're fucking patheticA: so are you for commenting my formspring,1
0,Q: you're mean.A: okay,1
0,Q: you're one of the ugliest bitches I've ever fucking seenA: have you seen your face lately because if you had you wouldn't be talkin hun (:,1
0,Q: you're the bitch :) fuck off.A: I'm not a dog hun,1
0,Q: your a fake. your a fake for calling the REAL hailey fake on her formspring. what a lame bitch :)A: your lame for no leaving your stupid username,1
0,Q: your a fuckin ugly bitch you look like a man in the face :)A: whatever you say (:,1
0,Q: your come backs are fucking horrible you dumb bitch. wtf  are you like fucking five? you're like. 'i know you are but what am i?' yeahhhh. no. bitch get a fucking life.A: i have one unlike you hun,1
0,Q: Your comebacks suck ballsA: like i said do yours,1
0,Q: Your comebacks suck ballsA: so do yours,1
0,Q: Your face is nastyyA: your just jealous,1
0,Q: your fucking ugly.A: like your mom,1
0,Q: your mad ugly. true talk.A: like your face,1
0,Q: your not FUCKING pretty  stop hating on grace and all these pretty girls  your just jealous. omgA: why would i wanna be jealous of them?,1
0,Q: Your probably the one faking KAI! HUH! FUCKING BITCH!A: hun i have a life unlike you,1
0,Q: Your so fucking immature I'm sorry you have no friends so you have to be rude to everyoneA: your just jealous im sexy and your not :P stupid Anonymous show your face faggot,1
0,Q: your thing says your very sexy.. lololol hah ! LIES ! ! :)A: stalker much?,1
0,Q: your ugly as fuuuuck ( : betty is 10000% prettier than youuu  so stopp being a bitchhh.A: psh yea right,1
0,Q: your uglyA: your momma,1
0,Q: YOURE UGLY (:A: stop talking about yourself :),1
0,Q: andrew once again stop talking to MY friends. nobody likes you. you think your hot shit and thats whats annoying. bye failed rapist :)A: Hahahaha :D,1
0,Q: ASSHOLEA: ???,1
0,"Q: Aw see even nico does nott want too go near you. I like that you try and typeall ghetto. YOU dont fucking scare me you bitch. Ill fucking kill you if we faught. You'd probably bring your ""ghetto friends"" Bahahaha. Who would that be? Bella and kendall? PffA: Actually i would love to ""go near her""  but im not the kind of asshole who puts that sort of unfair pressure on a girl :) and shut the fuck up  you're not hardcore you cunt....you probably know nothing about fighting and im sure you'd get fucked up in a real fight  so stop acting badass and go aay unless you're gonna stop being a bitch and do something about it.",1
0,"Q: Aww you'll have some beat my ass? Your not ""badass"" enough to do it yourself? Exactly what imeant by pussssssyss<33333A: Cause you're probably a fuckin girl. Tell me who youu are and ill do it myself.",1
0,Q: does it look like i give a flying fuck? ;]A: you should  cause you're a friendless faggot,1
0,Q: dudde ima fuuck you til you bleed:)A: Haha sorry I'm not into that sort of thing,1
0,Q: dude you are such a fucken fagget ahahahaA: Ahaha that's funny you anonymous bitch!!! :),1
0,"Q: EW FUCKKK NO SHES UGLY AS FUUUCCKKK.A: If she was ugly as ""fuck""  then i wouldn't be talking to her you retard...i know a pretty girl when i see one",1
0,Q: ew i wuld never be jelous of ur life. coke yup thats a drug to but u still seem to handle with it a lot. no one gives a flying fuck about ur life and leave andrew the fuck alone bc u only hate him for the firey cuntA: haha i don't do coke you idiot...and i dont give a fuck about that guy he's the one commenting on my formspring so shut up,1
0,Q: ew VVVVVVVA: I don't know which question you're pointing at asshole.,1
0,Q: exactly. ur not hard get the fuck over urselfA: How about you get over me and get the fuck out of here.,1
0,Q: FRANCES &&&& NiCO; take uur convo's to private no one wants to hearrr all loveyyy doveyy!!!! shutup!!!!A: ahaha shut upp,1
0,Q: Frances seriously stop trying to make people feel bad for you  ugly bitch.A: She's not ugly you stupid cunt  she's beautiful...why don't stop talkin crap and get a life you silly fuckstick. Damn  like honestly how much of a loser do you have to be to talk shit over formspring.?,1
0,Q: fuck no im not jealous of the ugly ass freak.A: Bitch  suck my fucken dick. Why don't you say that shit to my face you fuckin pussy?,1
0,Q: haha keep saying shit ill kill youA: Well then you'll go to jail!,1
0,Q: Hahah stfu q;A: hehehe about the bra thing?,1
0,Q: hahaha funny id love to see that forest fire fightA: Sounds like a challenge. How bout you fight me?,1
0,"Q: hahaha! to the hater who said im ""ugly as fuck"";;youu need to open your eyes bc iknow im farr from ugly''&& im not being conceited--just confident[; so you cann hushh that[; && babe if your gonna talk shit'say it to my face<3A: I think i had it under control Love(;",1
0,Q: hahahahahahahahahahahahahahahahhahahahahaahahahahahahahahahahahha your funny im not at allA: That's good for you  you can stop talking to me.,1
0,Q: I DO know you on a personal level. Bitch.A: Well if you can't support me and my decisions then maybe we shouldn't be friends. BITCH.,1
0,Q: i dont givafuck. ur friendless  previously stated in one of my other comments. except for firey  bitchA: ahaha i do have friends  and i know who they are so don't try to teach me about my own life.,1
0,Q: i guarantee you guys wont be going out by the end of summer..A: I guarantee that you're a fuckin retard....soooo fuck you,1
0,Q: i hate ur fucking guts. u & lindsey? grossest thing ive ever seenA: Haha there's nothing special between us so shut your mouth...and she's better than you  depending on if you're a girl or not haha,1
0,Q: I have my shit straight  she wears like the same T-shirts.. her little pink and white stripped shirt or the plaid blue and red or pink shirt or whatever  and maybe some random ones.. with jeans or shorts and vans. OWNED.A: Ahaha not really dumbfuck!!!! And even if she did i wouldnt mind  cause i dont care what other people think...all i care about is her.,1
0,Q: i hope you know i hate you. frances is one of my best friends! ass hole!A: Good for you...I don't see why you hate me though?,1
0,Q: ill fight you bitchA: haha fuckoff loser i don't know who you are,1
0,Q: Im not jealous  Im disgusted. Shes grosss.A: Ummm she's really not...get your shit straight before you start frontin'.,1
0,Q: im not Jewish im catholic so suck a dickA: No thanks I don't like dick,1
0,"Q: LEAVE FRANCES ALONE SERIOUSLY DUDE ALL YOUR GOING TO DO IS HURT HER YOUR OVER HERE ""TALKING"" TO HER AND TALKING TO SABREENA AT THE SAME TIME!A: aha sorry im not talking to sabreena  we're just good friends  dumbass.",1
0,Q: lets see it then ? ( : && i was born in th ghetto si wtfuhh you know bout tht cuhh? ahaha not a damn thing! get on my level trickk. show a name & catchh ahh fade lil homiee. & no you know what dont stay away from me  come find me bxtch ;D<33A: .,1
0,Q: no i dont why on earth would i wish for something like that?! i actually wish you would stop being a fucking player!A: How am i a player at all? Maybe if you knew me then you would know that im the one who gets played..,1
0,Q: no it's too funA: Then you must have a very dull life...loser,1
0,Q: No you wont.A: Haha listen asshole  you can't sit there and try to tell me about MY feelings unless you know me on a personal level and we're good friends.,1
0,Q: no. I hate taylor she used to b firey until she dyed her hairA: okay i dont really give a shit so find something better to do than criticize me.,1
0,Q: No. Im not. But thanks for throwing that out there ;)A: Uhh you sound like a retard when you say shit like that  cause you dont know what's gonna happen...we could be going out for one day or one year  but it doesn't matter cause ill always feel the same about her.,1
0,Q: not telling. you will have to just find out on your own. it probably won't be too hard though.A: Haha oh yeah...fml....but youz a bitchass nigga,1
0,Q: oh frances hunny dont try and talk all ghetto your white ass doesnt fucking scare me  i will break you in fucking half.A: Dude back the fuck off....i probably don't even know you so get the FUCK off of my fucken page and stay the FUCK away from Frances.,1
0,Q: r u gayA: Nah bro  I'm straight as can be,1
0,Q: say it to my face trick ass nigga i will fxckin murder you i aint tryna make no body feel bad so you can hush that you got something to say then please  step up && show a namee fuckinn bitch. whuss up?!A: .,1
0,Q: they are pointing to the one about me. You dont know a damn thing about me so stfu! seriously if you new me you wouldnt treat me the way you do im a human being and i have feeling so respect that  fucking ass hole. im sorry nico.A: Frances don't be so angry  this person is obviously jealous of you in some way and they talk shit on you cause they think you'll stoop to their level so they can be even with  you....don't worry about them  just ignore it<3,1
0,Q: too late  i hate youA: I could give two shits and a fuck about your hatred for me :),1
0,Q: ur gonna have a lot of shit on here cuz a lot of ppl hate uA: I've actually anticipated that  and I'm already aware that a lot of people hate me...,1
0,Q: WHATEVER. Im gunna leave before you guys cry & get yourselves hurt  i mean your begging me to leave  bye pussys!!!!!!!!!!!!!A: You're the one being anonymous! Give me your name and ill have someone beat your ass.,1
0,Q: WHORE!A: You know it :),1
0,Q: y3ah im sur3 sh3 d0nt want y0u..A: Oh thats bad news :/ and nice gay typing dude,1
0,Q: yeah go ahead and play victim  i do know you nico. thats how i know your a player.A: Fuck you bitch  if you did know me then you would know that Lindsey and Haley both played me so shut your mouth,1
0,Q: You and frances gross me out  nastiest couple ive ever freakin seen. Your way out of her league like no joke.A: I appreciate you trying to help  but its not working...so why don't you go away and stop being jealous  yeah?,1
0,Q: your a faggggggA: You're a bitchhhhh,1
0,Q: your my bitch and ill kill you niggaA: How bout you suck my dick?,1
0,Q: your still gay and a bitch hahaA: Well you're a rapist so fuckoff,1
0,Q: Your the one talkin shit back.. fuckstick? i mean seriously how 5th grade can you get?A: I didn't know 5th graders were so badass....why don't you get out of here before i fuck you in the ass so hard  your kids won't be able to sit down for the first 8 years of their lives!!!,1
0,Q: Are you a cat or dog person?A: dog definantly,1
0,Q: Christina Aguilera or Lady Gaga?A: Christina always.,1
0,Q: Do u have a gag reflex?A: Do you have a name?,1
0,Q: Do you bite your lip a lot?A: Not really,1
0,Q: Do you have an innie or an outtie?A: innie.,1
0,Q: Do you think it s sassy when people of the opposite sex swear every once in a while when they usually don't?:A: i guess..,1
0,Q: Do you think it's okay for guys to wear pink?A: Sometimes. but its usually gay ahha,1
0,Q: Girls: Have you evr queefed while having sex?  Guys: has your girl queefed?  My bros chick did && he was lhfao!!!A: Yes and don't be embarrassed. Its very very natural and the my guy likes it :],1
0,Q: Have you had your wisdom teeth taken out?A: yes,1
0,Q: how many times do you eat in a day?A: on the hour every hour :] haha,1
0,Q: How old were you when you learned to swim?A: idk how old i was when i started doing anything dude. lol,1
0,Q: How would you like to die?A: Unexpectedly and when Im really old,1
0,Q: I am done spamming for the day. Leave me things. Thanks <3 Have a good rest of the day!A: kkk,1
0,Q: i totally asked a guy to prom....guess what he said!!!????A: Yes and then didnt show up haha,1
0,Q: i'll give you a scenario: what if your friend dated someone who is in a relationship  or had a relationship with someone who is in a relationship? what will you do?A: its not my business.  if it were up to me  they shouldnt do that. I believe its called being a homewrecker. but its not my business to poke around in. I would voice my opinion if asked but thats all :],1
0,Q: ILL UNFOLLOW YOU JUST LET MY DUMB ASS KNOW!!!! I DONT NEED YOUR BULLSHIT!!! :))) THANKS &&  ENJOY THE REST OF YOUR DAY! PEACE!A: hahhah,1
0,Q: kaydoll is bettaa than rhubinathy cuss she will suck my dick and the othe fat hoe wont and i luv it my slutsA: okay?,1
0,Q: Lets jump off the bridge together! You go first... I check if it works  ill reconsider..A: haha Yup thats prolly what would happen. The first time I went to the falls in monroe..(don't know if you've heard of them?) but its a waterfall you jump off. well anyways everyone hade been there before except me and it was night of course..im a retard lol and I was the only one that would jump. No second chances :] haha,1
0,Q: MOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOA: moooo back.,1
0,Q: My dick throbbs for ur attention. Call me 7273684229A: wow good one.,1
0,Q: PLEASE can I poop in your mouthA: No. and anonymousness is just your way of not being able to show yourself. At least have the dignigty to leave your name if your going to talk. Bahahha!,1
0,Q: Please stop harassing me on my formspring :(A: I don't harass people on formspring. Will you stop harassing me :( you keep leaving anonymousness on my page. r Keep your negative thoughts off my FS please and thank you very much. :],1
0,Q: remember Cassie? lolA: No? who's cassie?,1
0,Q: Rhianna next year??? lolA: Definantly :] Cant waittt!!,1
0,Q: SMILE4MEXXX IS TRAILER TRASH. A RACIST FAT COW. A BIMBO FUCKING SLUT. AND WORTHLESS AS HELL. ALL SHE'S GOOD FOR IS SOMEONE USING HE BODY FOR SEX AND DUMPING HER ON THE STREET WHEN THEY'RE DONE USING HER ;)A: thats not veryy nice :/,1
0,Q: so ... sober sunday  messed up monday  trashed tuesday  wasted wednesday  thirsty thursday  fucked up friday  shitfaced saturday  whats your favorite day of the weekA: Umm..sober sunday?,1
0,Q: So tell me  where do you think the FS pervs come from? Why do you think they are pervy?A: Idk i dont have them,1
0,Q: spam for spam? :)A: shore :),1
0,Q: ur really oddA: you think so :] whys that?,1
0,Q: what accent bothers you?A: i guess all accents are neat and nice in the beginning but to live with it for ever....idk. I cant stand the hick-red neck blahhhh i gotta talk like im stupid and have no knowledge as to what im saying yaaaahhh'lll. UGh. Hate it. haha,1
0,Q: What character from a movie most reminds you of yourself?A: i hate repeat questions. ha,1
0,Q: What is the difference in love and in love with someone?A: idk what your asking.,1
0,Q: What item of clothing do you have the most of?A: tanks :)I wear them under everything!,1
0,Q: what made you interesting?A: The responses to the questions i've been asked :] and perhaps the questions i ask others. haha idk what your asking.,1
0,Q: What ring size are you?: rA: Why do you wonder? Show your face.,1
0,Q: What were you like when you were a kid?A: fun  outgoing  very blunt  and more like a 16 year old in a 4 year olds body haha,1
0,Q: What would u do for a cheeseburger? Sex?A: No. I dont like cheeseburgers.,1
0,Q: What year do you or did you graduate high school?A: 2007,1
0,Q: What's under your bed? :OA: the floor. :P,1
0,Q: When was the last time someone hit on you?A: people dont hit on me lol,1
0,Q: Who are the 3 most overrated musicians?A: Hmm..overrated?r r Taylor Swiftr Jonas Brothersr Miranda Lambert,1
0,Q: Why are people so fascinated with when the world is going to end?A: idk. but you seem to be one of those people. i think ive answered 6 questions about the world ending,1
0,Q: Why is Tyra(nasurus) Banks such a dumb bitch?A: idk. i didnt know she was?,1
0,Q: whyy dose rubinathy15 ask stoopid questions? erase the dum betchA: why are you talking to me in anonymousness? be a man. show your face. Hahah,1
0,Q: Would u rather be a flaming gay handicapped nigger with cherubism or a white trash skitzopherenic amputee with turettes?A: i guess if i HAD to choose..the second one. at least with turettes i could make ppl laugh! :],1
0,Q: You can flip a switch that will wipe any band or musical artist off the earth  who would it be?A: Jonas brothers.,1
0,Q: 809 9501 <----Alexis's Phone Number   Ima post It On Myspace!A: You little bitch ! haha &you bettter nott ; ill kill you <3,1
0,Q: Bitchezz beloww me I would say ur name but yeww put it on anonymus pussy ass bitchez talkin shit on Alexis she ckan show Herr  fuken boobs if she wants don't be jealous cuz yeww prolly don't gawt any it's ok tho and bitch wen she sayz write to her sheA: Lmao   haters<3,1
0,Q: Bitchh really yur saying shez fat now bitch yur probly the fat lonely ass flat chested bitch who ckant get none so stop hating AND PLEASE BITCH TAKE YUR SHIT OFF ANONYMUS DUMM ASS BITCH !!!!!!A: Lol the day the bitch takes it off anonymous is the day she grew some balls!,1
0,Q: DAMMn GiRRRRRLLL U bEE LOOKiNN mAD SEXii! =) iWOOD DO U iNN aLL SORTDs Of WAyS.A: LOl thass cute(:,1
0,Q: Day or Night?A: Hmm idk  night ?,1
0,Q: dayumm stupid fuckin cunts stop talking your shit get a fuckin life go suck your moms dick and chock on it dayumm lil pussys take it of anonamis or watever -stephanie iloveyou alexis :)A: Haha I knoow huh but they don't matter(: I love youu too Stephanie<3,1
0,Q: Did u now tht ur ugliA: I lovee ahh haterr<3 but did you know that your uglier than my dogs shit? Nahh juss kiddin I'm not a bitchh like youu(:,1
0,Q: Do u wnt 2 suk my dick?A: Umm i don't wanna catch anything :/ sorry(:,1
